id,name,city,neighborhood,street,street_number,sport_type,is_free,phone,email,description,latitude,longitude,features,photo_urls,rating
689b00d1bfcd92ee2287a21c,מתחם הספורט הרצליה,הרצליה,מרכז העיר,סוקולוב,12,כדורסל,false,09-9705230,sport@herzliya.muni.il,מתחם ספורט מודרני עם מגרש כדורסל איכותי,32.1624,34.8441,תאורה;חניה;מזנון,https://images.unsplash.com/photo-1546519638-68e109498ffc?w=600&h=400&fit=crop&crop=center,4.8
689b07a39b17ab014cfd2682,מגרש כדורסל  -  תת אתר''י,ירושלים,רמות אלון,רקנטי אברהם,345,כדורסל,false,02-6518849,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd268f,מגרש כדורעף - סליגסברג,ירושלים,ארמון הנציב,רזיאל דוד,29,כדורסל,false,02-6732874,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2621,נאות פרס,חיפה,,,,כדורסל,false,,,מגרש כדורגל - לא תקני,,,,,
689b07a39b17ab014cfd2742,אולם התעמלות - בי"ס אחיעזר,ירושלים,בית וגן,הרב פרנק,8,כדורסל,false,02-6438267,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd26df,"אולם משולב- בי""ס ע""ש ציון עזרי, גבעת מרדכי",ירושלים,גבעת מרדכי,מן,7,כדורסל,false,02-6788020,,אולם ספורט בינוני – 32x19 מ',,,,,
689b07a39b17ab014cfd25b0,רעות,חיפה,קריית אליעזר,צה"ל,41,כדורסל,false,04-8521564,Shmulikz@haifa.muni.il,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd26a2,מגרש כדורסל  -  מלון רמת רחל,ירושלים,רמת רחל,קיבוץ רמת רחל ד.נ. צפון יהודה,,כדורסל,false,02-6702555,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd25c2,מלל,חיפה,,מלל,8,כדורסל,true,04-8356823,Shmulikz@haifa.muni.il,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd26a7,מגרש קטרגל - בי"ס גאולים א',ירושלים,בקעה,קיבוץ גלויות,4,כדורסל,false,02-6733879,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd261c,אלון,חיפה,רמת אלון,יגאל אלון,9,כדורסל,false,,,אולם ספורט בינוני – 32x19 מ',,,,,
689b07a39b17ab014cfd264e,אולם משולב  -  חוות הנוער הציוני,ירושלים,רסקו,שי עגנון,1,כדורסל,false,02-6491921,,אולם ספורט גדול - 45X24 מ',,,,,
689b07a39b17ab014cfd258b,עירוני א' - אולם ימני,חיפה,קריית אליעזר,תל אביב,27,כדורסל,false,04-,Shmulikz@haifa.muni.il,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd25b9,פאר,חיפה,חליסה,פאר,60,כדורסל,true,04-8356823,Shmulikz@haifa.muni.il,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd25db,הרב קניאל,חיפה,,הרב קניאל,11,כדורסל,true,04-8356823,Shmulikz@haifa.muni.il,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2615,בי"ס אהוד,חיפה,,אהוד,18,כדורגל,false,,Shmulikz@haifa.muni.il,מגרש ספורט משולב – 43X32 מ',,,,,
689b07a39b17ab014cfd265e,מגרש משולב  -  שועפט - בי''ס לבנים,ירושלים,מזרח ירושלים,שועפט,1,כדורגל,true,02-5827186,,מגרש ספורט משולב – 43X32 מ',,,,,
689b07a39b17ab014cfd2663,טניס  -  מנהל קהילתי נווה יעקב,ירושלים,נווה יעקב,שדרות נוה יעקב,38,טניס,true,02-5834473,,מגרש טניס,,,,,
689b07a39b17ab014cfd26b6,אולם התעמלות  -  מעון נכים - גילה - איל"ן,ירושלים,גילה,צביה ויצחק,30,כדורסל,false,02-6761082,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd26ed,מגרש כדורעף - ג'ינוגלי - בי''ס תורני מעלה,ירושלים,הגבעה הצרפתית,לוחמי הגטאות,7,כדורסל,false,,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2712,אולם התעמלות  -  הברר,ירושלים,קטמון,יוסי בן יועזר,20,כדורסל,false,02-6788487,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd25f3,רמות,חיפה,חיפה מערב,דרך צרפת,85,כדורסל,false,04-8330504,Shmulikz@haifa.muni.il,אולם ספורט קטן – 15x24 מ',,,,,
689b07a39b17ab014cfd266a,אולם כדורסל  -  המכללה ע"ש דוד ילין,ירושלים,"בית הכרם, י. נוף",שדרות הרצל,98,כדורסל,false,02-6558111,,אולם ספורט קטן – 15x24 מ',,,,,
689b07a39b17ab014cfd2670,טניס  -  מנהל קהילתי בית הכרם - זיו,ירושלים,"בית הכרם, י. נוף",שדרות הרצל,137,טניס,true,02-6423710,,מגרש טניס,,,,,
689b07a39b17ab014cfd26e1,אולם התעמלות  -  מינהל קהילתי שמואל הנביא,ירושלים,שמואל הנביא,מגן האלף,3,כדורסל,false,02-5322529,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd270e,אולם כללי - בית מרשל,ירושלים,מרכז העיר,יפו,216,כדורסל,false,02-5388955,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd2715,מגרש משולב  -  הברר,ירושלים,קטמון,יוסי בן יועזר,20,כדורגל,true,02-6788487,,מגרש ספורט משולב – 43X32 מ',,,,,
689b07a39b17ab014cfd2726,מגרש טניס  -  הפועל-מרכז טניס,ירושלים,קריית יובל,זנגויל ישראל,32,טניס,false,02-6422531,,מגרש טניס,,,,,
689b07a39b17ab014cfd25da,תענ"ך,חיפה,,התענ"ך,- מול 34,כדורסל,true,04-8356823,Shmulikz@haifa.muni.il,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2603,גוט לוין,חיפה,כרמל,גוט לוין,6,כדורסל,true,04-8356823,Shmulikz@haifa.muni.il,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2625,אולם התעמלות - בי"ס איש שלום,ירושלים,פסגת זאב,תמיר שמואל,74,כדורסל,false,02-5836476,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd2633,"אולם התעמלות - בית יעקב, בית וגן",ירושלים,בית וגן,שערי תורה,2,כדורסל,false,02-6412330,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd25be,סעדיה גאון,חיפה,,סעדיה גאון פינת מרסיי,,כדורסל,true,04-8356823,Shmulikz@haifa.muni.il,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2734,מגרש דשא סינטטי  -  מנהל קהילתי גילה - עדי יפה,ירושלים,גילה,ורדינון,14,כדורסל,true,02-6461111,,מגרש שחבק דשא סינטטי,,,,,
689b07a39b17ab014cfd2599,אוניסרסיטת חיפה,חיפה,כרמל,שד' אבא חושי,,טניס,false,,Shmulikz@haifa.muni.il,מגרש טניס,,,,,
689b07a39b17ab014cfd25b4,ספורטן - מרכז ספורט,חיפה,חיפה דרום,צביה ויצחק,,טניס,false,,Shmulikz@haifa.muni.il,מגרש טניס,,,,,
689b07a39b17ab014cfd2692,טניס  -  הולידי אין קראון פלזה,ירושלים,קריית האומה,רופין,1,טניס,false,02-6588888,,מגרש טניס,,,,,
689b07a39b17ab014cfd27c2,אולם כדורסל - בי"ס אורט ספניאן,ירושלים,פת,בעהם אריה,2,כדורסל,true,02-6719509,,אולם ספורט בינוני – 32x19 מ',,,,,
689b07a39b17ab014cfd28d7,ביה"ס עירוני ח',Other City,,התשעים ושלוש,,כדורסל,false,5379475,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd27d2,מגרש משולב- מנהל קהילתי בית צפאפא-שרפאת,ירושלים,בית צפאפא,בית צפאפא דרום,1,כדורסל,true,02-6790717,,מגרש ספורט במידות אחרות – לא תקני,,,,,
689b07a39b17ab014cfd281f,מגרש טניס פסגת זאב,ירושלים,,משה דיין,130,טניס,false,,,מגרש טניס,,,,,
689b07a39b17ab014cfd275f,אולם כללי  -  מועדון הספורט הירושלמי,ירושלים,קטמון הישנה,הצפירה,32,כדורסל,false,02-5632125,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd2795,אולם אומנויות לחימה והתעמלות - בית הלוחם,ירושלים,מלחה,דרך גן חיות,1,כדורסל,false,02-6750000,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd27b5,אולם התעמלות  -  מרכז שכונתי נווה פת,ירושלים,פת,ברל לוקר,2,כדורסל,false,02-6786752,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd27f7,מגרש כדורסל - בי"ס ארגנטינה,ירושלים,קריית יובל,אולסוונגר עמונאל,3,כדורסל,true,02-6418202,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2838, מגרש קטרגל - בי''ס תל''י מתמטי,ירושלים,,מזל טלה,11,כדורסל,true,,,מגרש כדורגל - לא תקני,,,,,
689b07a39b17ab014cfd258c,שניים בנובמבר,חיפה,,שניים בנובמבר פינת הציונות,,כדורסל,true,04-8356823,Shmulikz@haifa.muni.il,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd267f,אולם התעמלות  -  תת אתר''י,ירושלים,רמות אלון,רקנטי אברהם,345,כדורסל,false,02-6518849,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd26ab,אולם כדורסל  -  התיכון הישראלי למדעים ולאמנויות,ירושלים,גבעת משואה,קוליץ,1,כדורסל,false,1-800-200-838,,אולם ספורט קטן – 15x24 מ',,,,,
689b07a39b17ab014cfd2732,מגרש כדורסל  -  גילה עירוני י''ז - בי''ס,ירושלים,גילה,ורדינון,12,כדורסל,true,02-6764166,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2658,אולם כללי  -  דובדבני ברוך - בי''ס,ירושלים,"בית הכרם, י. נוף",שחר,19,כדורסל,false,02-6535229,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd26f3,מגרש קטרגל  -  דוגמא לבנים - בי''ס ע''ש עוזיאל,ירושלים,רחביה,לוד,20,כדורסל,false,02-6258538,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2685,מגרש קטרגל  -  גן בית אלישבע,ירושלים,קטמון הישנה,ריש לקיש,3,כדורסל,true,,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd26de,"אולם כדורסל - בי""ס ע""ש ציון עזרי, גבעת מרדכי",ירושלים,גבעת מרדכי,מן,7,כדורסל,false,02-6788020,,אולם ספורט בינוני – 32x19 מ',,,,,
689b07a39b17ab014cfd26f9,מגרש קטרגל  -  פרדס,ירושלים,רמות אשכול,ככר זלמן ארן,7,כדורסל,false,02-5813819,,מגרש כדורגל - לא תקני,,,,,
689b07a39b17ab014cfd2718,מגרש משולב  -  מצדה - בי''ס ע''ש אוהב ציון,ירושלים,קטמון,יוחנן בן זכאי,33,כדורגל,true,02-6789282,,מגרש ספורט משולב – 43X32 מ',,,,,
689b07a39b17ab014cfd25e4,נווה דוד תחתון,חיפה,,המלך דוד,29,כדורסל,true,04-8356823,Shmulikz@haifa.muni.il,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2740,מגרש משולב  -  פסגת זאב מרכז א' -בי''ס,ירושלים,פסגת זאב,השישה עשר,19,כדורגל,false,02-5834225,,מגרש ספורט משולב – 43X32 מ',,,,,
689b07a39b17ab014cfd264f,טניס  -  חוות הנוער הציוני ע''ש ד''ר ישראל גולדשטיין,ירושלים,רסקו,שי עגנון,1,טניס,true,02-6491909,,מגרש טניס,,,,,
689b07a39b17ab014cfd26ea,טניס  -  היאט - מלון,ירושלים,הגבעה הצרפתית,לחי,23,טניס,false,02-5331204,,מגרש טניס,,,,,
689b07a39b17ab014cfd2789,מגרש משולב  -  גילה ב' - בי''ס ממ''ד,ירושלים,גילה,האזוב,1,כדורגל,true,02-6763505,,מגרש ספורט משולב – 43X32 מ',,,,,
689b07a39b17ab014cfd2842, אולם כללי - מרכז קהילתי בפסגת זאב מזרח,ירושלים,פסגת זאב,טוניק יצחק,23,כדורסל,false,,,אולם ספורט גדול - 45X24 מ',,,,,
689b07a39b17ab014cfd2799,אולם כללי  -  מרכז חדש לאומנויות המזרח,ירושלים,תלפיות,דרך בית לחם,18,כדורסל,false,,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd27c6,אולם התעמלות - בי"ס איברהימיה קולג,ירושלים,מזרח ירושלים,בן עדיה שמואל,1,כדורסל,false,02-6282098,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd2852,בית ספר נעמי שמר,Other City,2,אהרון בקר,10,כדורסל,false,6482862,Neomishemer10@gmail.com,אולם ספורט בינוני – 32x19 מ',,,,,
689b07a39b17ab014cfd28d9,מיתחמי כדורעף חופים,Other City,חוף גאולה,הרברט סמואל,,כדורסל,true,37240342,,מגרש חול קבוע לכדורעף או לקטרגל או לכדוריד חופים,,,,,
689b07a39b17ab014cfd2790,אולם כדורסל - בית נוער לזרוס,ירושלים,תלפיות,דרך חברון,134,כדורסל,false,02-6732626,,אולם ספורט קטן – 15x24 מ',,,,,
689b07a39b17ab014cfd28d6,גן הבריכות,Other City,,וילנסקי,3,כדורגל,true,03-7253828,mandlawy_m@mail.tel-aviv.gov.il,מגרש ספורט משולב – 43X32 מ',,,,,
689b07a39b17ab014cfd2766,אולם התעמלות  -  גונן - מועדון,ירושלים,קטמון הישנה,הפלמ"ח,53,כדורסל,false,02-5619326,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd27ac,מגרש כדורסל - בית רחל שטראוס - מ"מ,ירושלים,תלפיות,גנרל פיר קינג,14,כדורסל,true,02-6483432,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2808,מגרש קטרגל - בי"ס אחמד סאמח חאלדי,ירושלים,מזרח ירושלים,א טור,1,כדורסל,false,02-6714315,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd28b9,גן גלקסברג,Other City,,לוחמי גליפולי 15,,כדורגל,true,03-7253828,mandlawy_m@mail.tel-aviv.gov.il,מגרש ספורט משולב – 43X32 מ',,,,,
689b07a39b17ab014cfd25a1,טכניון,חיפה,נווה שאנן,קרית הטכניון חיפה 3200,,כדורסל,false,,Shmulikz@haifa.muni.il,אולם ספורט בינוני – 32x19 מ',,,,,
689b07a39b17ab014cfd26b3,מגרש משולב  -  מנהל קהילתי פיליפ לאון - קרית יובל,ירושלים,קריית יובל,צ'ילה,8,כדורגל,true,02-6414896,,מגרש ספורט משולב – 43X32 מ',,,,,
689b07a39b17ab014cfd2683,מגרש משולב - ביה"ס אורט רמות,ירושלים,רמות אלון,רקנטי אברהם,29,כדורגל,true,02-5860403,,מגרש ספורט משולב – 43X32 מ',,,,,
689b07a39b17ab014cfd26bc,אולם משולב  -  כרמלי - אדם,ירושלים,המושבה הגרמנית,עמק רפאים,22,כדורסל,false,02-5632763,,אולם ספורט גדול - 45X24 מ',,,,,
689b07a39b17ab014cfd2707,אולם כדורסל  -  מנהל קהילתי בקעה - מקור חיים,ירושלים,בקעה,יששכר,3,כדורסל,false,02-6733485,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd25fe,דובנוב,חיפה,כרמל,דובנוב - מול 28,,כדורסל,true,04-8356823,Shmulikz@haifa.muni.il,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2587,רמב"ם,חיפה,,,,כדורסל,false,,,אולם ספורט קטן – 15x24 מ',,,,,
689b07a39b17ab014cfd2657,אולם כדורסל - אולם הפועל,ירושלים,מרכז העיר,שטראוס,17,כדורסל,true,02-6207222,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2667,מגרש משולב  -  נווה עציון - בי''ס ממ''ד לבנות,ירושלים,בית וגן,שדרות נוה יעקב,4,כדורגל,true,02-6421191,,מגרש ספורט משולב – 43X32 מ',,,,,
689b07a39b17ab014cfd26e9,"מגרש כללי - בית יעקב, בית ישראל",ירושלים,בית ישראל,לפידות,17,כדורסל,false,02-5382974,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2722,אולם כללי  -  מועדון מאה שערים לקשישים,ירושלים,מאה שערים,חברת שס,17,כדורסל,false,02-6273444,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd2612,בי"ס אינשטיין,חיפה,,אינשטיין,133,כדורגל,false,,Shmulikz@haifa.muni.il,מגרש ספורט משולב – 43X32 מ',,,,,
689b07a39b17ab014cfd2677,כדורת  -  מרכז נופש - יער ירושלים,ירושלים,הר נוף,שדרות הרצל,,כדורסל,false,02-6752911,,מגרש פטאנק או כדורת דשא,,,,,
689b07a39b17ab014cfd26e6,מגרש כדורסל  -  גילה א' - בי''ס,ירושלים,גילה,מבוא נטף,4,כדורסל,true,02-6763959,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd267c,אולם כללי  -  מנהל קהילתי הר נוף,ירושלים,הר נוף,שאולזון,18,כדורסל,false,02-6519026,,אולם ספורט גדול - 45X24 מ',,,,,
689b07a39b17ab014cfd267d,אולם כללי  - מינהל קהילתי רמות אלון,ירושלים,רמות אלון,רקנטי אברהם,6,כדורסל,false,02-5865007,,אולם ספורט בינוני – 32x19 מ',,,,,
689b07a39b17ab014cfd26cd,מגרש משולב - תיכון רנה קסין,ירושלים,מעלות דפנה,נטר יעקב,1,כדורגל,true,02-5815198,,מגרש ספורט משולב – 43X32 מ',,,,,
689b07a39b17ab014cfd28d4,מגרש כדור סל וקט רגל ביה"ס עירוני ד,Other City,,ויצמן,74,כדורגל,false,3605366,Irony.d.ta@gmail.com,מגרש ספורט משולב – 43X32 מ',,,,,
689b07a39b17ab014cfd2841, מגרש דשא סינטטי - בי''ס נעם בנים,ירושלים,,טוניק יצחק,21,כדורסל,true,,,מגרש שחבק דשא סינטטי,,,,,
689b07a39b17ab014cfd27b4,מגרש קטרגל - בי"ס אלסואחרה לבנים,ירושלים,מזרח ירושלים,גבל מוכבר,,כדורגל,false,02-6715814,,מגרש ספורט משולב – 43X32 מ',,,,,
689b07a39b17ab014cfd287a,ביה"ס אליאנס,Other City,,רידינג,26,כדורסל,false,6987666,,אולם ספורט בינוני – 32x19 מ',,,,,
689b07a39b17ab014cfd27c7,מגרש כדורגל - בי"ס איברהימיה קולג,ירושלים,מזרח ירושלים,בן עדיה שמואל,1,כדורסל,true,02-6282098,,מגרש כדורגל - לא תקני,,,,,
689b07a39b17ab014cfd274a,מגרש כדורסל  -  הר נוף - בי''ס ממ''ד לבנים,ירושלים,הר נוף,הרב חי טייב,46,כדורסל,true,02-6514850,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd276b,אולם כללי - ברושים - מ"מ,ירושלים,עין כרם,המעיין,2,כדורסל,false,02-6415741,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd2823, מגרש משולב - בי''ס עופרים,ירושלים,, רפאל יצחק,4,כדורגל,true,,,מגרש ספורט משולב – 43X32 מ',,,,,
689b07a39b17ab014cfd27a8,אולם כדורסל  -  מינהל קהילתי קרית מנחם-עיר גנים,ירושלים,קריית מנחם,דהומי,7,כדורסל,false,02-6413897,,אולם ספורט בינוני – 32x19 מ',,,,,
689b07a39b17ab014cfd2802,אולם התעמלות - מועדון בית נחמיה,ירושלים,אבו טור,אבו טור,91,כדורסל,false,02-6732521,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd2872,ספורטק צפון - מגרש כדורגל ללא סימון,Other City,כוכב הצפון,שד' רוקח,,כדורסל,true,03-7253828,mandlawy_m@mail.tel-aviv.gov.il,מגרש כדורגל - לא תקני,,,,,
689b07a39b17ab014cfd2893,ביה"ס מוריה,Other City,,ציטלין,24,כדורסל,false,6964535,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd28ca,מתחם גולטיים - מגרש ( 35X 17 ),Other City,יד אליהו,טשרנא 7,,כדורסל,false,03-7253828,mandlawy_m@mail.tel-aviv.gov.il,מגרש כדורגל - לא תקני,,,,,
689b07a39b17ab014cfd27a4,מגרש דשא סינטטי  -  גן הפעמון,ירושלים,המושבה הגרמנית,דוד המלך,1,כדורסל,true,,,מגרש שחבק דשא סינטטי,,,,,
689b07a39b17ab014cfd27d0,מגרש דשא סינטטי - מנהל קהילתי בית צפאפא-שרפאת,ירושלים,בית צפאפא,בית צפאפא דרום,1,כדורסל,true,02-6790717,,מגרש שחבק דשא סינטטי,,,,,
689b07a39b17ab014cfd26e8,"אולם התעמלות - בית יעקב, בית ישראל",ירושלים,בית ישראל,לפידות,17,כדורסל,false,02-5382974,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd2723,אולם משולב - בי"ס אגרון גרשון,ירושלים,קריית יובל,זנגויל ישראל,29,כדורסל,false,02-6411444,,אולם ספורט גדול - 45X24 מ',,,,,
689b07a39b17ab014cfd2686,אולם כללי  -  מכללה למינהל,ירושלים,קריית יובל,רינגלבלום,5,כדורסל,false,02-6417477,,אולם ספורט בינוני – 32x19 מ',,,,,
689b07a39b17ab014cfd26bd,אולם התעמלות  -  כרמלי - אדם,ירושלים,המושבה הגרמנית,עמק רפאים,22,כדורסל,false,02-5632763,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd2623,מגרשי אתו"ס,חיפה,,קדושי יאסי,,כדורסל,false,,,מגרש כדורגל – 45X90 מ',,,,,
689b07a39b17ab014cfd26f6,מגרש כדורעף  -  טרסנטה - בי''ס נזירות - מר יוסף,ירושלים,הרובע היהודי,ככר עומר,1,כדורסל,false,02-6283527,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd25ce,חוגים,חיפה,כרמל,יאיר כץ,4,כדורסל,false,04-8382256,Shmulikz@haifa.muni.il,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd25d7,זינגר,חיפה,,זינגר,11,כדורסל,true,04-8356823,Shmulikz@haifa.muni.il,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2777,אולם כללי  -  תת יקירי ירושלים,ירושלים,מקור ברוך,הטורים,31,כדורסל,false,02-5825142,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd28dd,ביה"ס מצדה,Other City,,הר נבו,6,כדורסל,false,7937010,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd27a2,סקווש - בניין ימק"א,ירושלים,טלביה,דוד המלך,26,כדורסל,false,02-5692692,,אולם ספורט קטן – 15x24 מ',,,,,
689b07a39b17ab014cfd27be,מגרש קטרגל  -  מנהל קהילתי קטמונים ח-ט,ירושלים,קטמון,בר יוחאי,5,כדורסל,true,02-6792285,,מגרש כדורגל - לא תקני,,,,,
689b07a39b17ab014cfd27f0,סטודיו -בית הופמן מועדון גימלאים גונן,ירושלים,קטמון,אליעזר הגדול,4,כדורסל,false,02-6789472,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd2824, מגרש כדורסל - בי''ס מנשה אבישר,ירושלים,,משה שרת,1,כדורסל,true,,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2835, מכון כושר - הסטודיו של מטי,ירושלים,,דוד איילון,1,כדורסל,false,,,אולם ספורט גדול - 45X24 מ',,,,,
689b07a39b17ab014cfd27eb,אולם ספורט  -  רמות ג - בי''ס,ירושלים,רמות אלון,אסירי ציון,2,כדורסל,false,02-5866661,,אולם ספורט גדול - 45X24 מ',,,,,
689b07a39b17ab014cfd27ee,אולם כללי - בי''ס ליוגה אינטגרטיבית,ירושלים,מורשה,אלישע,12,כדורסל,false,02-6261010,,אולם ספורט קטן – 20x10 מ',,,,,
689b07a39b17ab014cfd27fb,מגרש קטרגל  -  מועדון מזכרת משה,ירושלים,,אהל משה,42,כדורסל,true,02-6254277,,מגרש כדורסל – 19X32 מ',,,,,
689b07a39b17ab014cfd2850,ספורטק דרום משולב,Other City,עזרא,תשרי,87,כדורגל,true,,,מגרש ספורט משולב – 43X32 מ',,,,,
